id,started_at,completed_at,properties_found,new_properties,updated_properties,removed_properties,price_changes,status
1,2026-01-27 01:17:53,2026-01-27 01:18:03,0,0,0,0,0,failed
2,2026-01-27 06:30:17,2026-01-27 06:30:26,0,0,0,0,0,failed
3,2026-01-28 01:12:08,2026-01-28 01:12:08,0,0,0,0,0,completed
4,2026-01-28 01:14:33,2026-01-28 01:14:33,0,0,0,0,0,completed
5,2026-01-28 01:26:17,2026-01-28 01:26:26,1500,973,0,0,0,completed
6,2026-01-28 01:40:15,2026-01-28 01:40:15,0,0,0,0,0,completed
7,2026-01-28 02:19:36,2026-01-28 02:19:36,0,0,0,0,0,completed
8,2026-01-28 02:22:53,2026-01-28 02:24:00,1500,2,0,0,0,completed
9,2026-01-28 02:30:45,2026-01-28 02:39:44,1500,0,0,0,0,completed
10,2026-01-28 06:31:19,2026-01-28 06:31:45,0,0,0,0,0,completed
11,2026-01-28 18:30:35,2026-01-28 18:30:57,0,0,0,0,0,completed
12,2026-01-29 06:41:48,2026-01-29 06:42:11,0,0,0,0,0,completed
13,2026-01-29 18:36:22,2026-01-29 18:36:48,0,0,0,0,0,completed
14,2026-01-30 06:42:26,2026-01-30 06:42:52,0,0,0,0,0,completed
15,2026-01-30 18:34:29,2026-01-30 18:42:20,1500,833,0,0,0,completed
16,2026-01-31 06:33:41,2026-01-31 06:34:05,0,0,0,0,0,completed
17,2026-01-31 18:24:03,2026-01-31 18:33:45,1500,340,0,0,0,completed
18,2026-02-01 06:43:44,2026-02-01 06:44:07,0,0,0,0,0,completed
19,2026-02-01 18:27:03,2026-02-01 18:35:18,1500,455,0,0,0,completed
20,2026-02-02 06:58:32,2026-02-02 06:58:54,0,0,0,0,0,completed
21,2026-02-02 18:35:34,2026-02-02 18:44:36,1500,741,0,0,0,completed
22,2026-02-03 06:45:02,2026-02-03 06:45:23,0,0,0,0,0,completed
23,2026-02-03 18:48:43,2026-02-03 18:58:26,1500,214,0,0,0,completed
24,2026-02-04 06:45:26,2026-02-04 06:45:51,0,0,0,0,0,completed
25,2026-02-04 18:40:39,2026-02-04 18:41:00,0,0,0,0,0,completed
26,2026-02-05 06:54:05,2026-02-05 07:03:33,1500,136,0,0,0,completed
27,2026-02-05 18:40:51,2026-02-05 18:49:17,1500,102,0,0,0,completed
28,2026-02-06 06:49:33,2026-02-06 06:58:49,1500,49,0,0,0,completed
29,2026-02-06 18:40:55,2026-02-06 18:41:19,0,0,0,0,0,completed
30,2026-02-07 06:37:36,2026-02-07 06:38:00,0,0,0,0,0,completed
31,2026-02-07 18:27:23,2026-02-07 18:27:42,0,0,0,0,0,completed
32,2026-02-08 06:44:24,2026-02-08 06:44:48,0,0,0,0,0,completed
33,2026-02-08 18:28:38,2026-02-08 18:29:05,0,0,0,0,0,completed
34,2026-02-09 07:00:32,2026-02-09 07:00:54,0,0,0,0,0,completed
35,2026-02-10 06:59:40,2026-02-10 07:09:14,1500,77,0,0,0,completed
36,2026-02-10 18:58:44,2026-02-10 18:59:08,0,0,0,0,0,completed
37,2026-02-11 06:57:09,2026-02-11 07:05:32,1500,89,0,0,0,completed
38,2026-02-11 18:55:11,2026-02-11 19:04:03,1500,122,0,0,0,completed
39,2026-02-12 06:57:31,2026-02-12 07:06:22,1500,14,0,0,0,completed
40,2026-02-12 18:55:33,2026-02-12 18:55:55,0,0,0,0,0,completed
