id,category,subtype,buy_or_rent,geography,latitude,longitude,sq_meters,floor_number,rooms,bathrooms,ad_type,agent_id,first_seen,last_seen,is_active
1697973,house,4,sale,Άνω Εκάλη (Εκάλη),38.106937,23.848904,400,3,4,3,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
2268097,house,3,sale,Σωρός (Μαρούσι),38.041958,23.813618,190,3,4,2,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
2536325,house,4,sale,Dimosiografika (Ekali),38.117821,23.833138,350,3,4,3,vip,5654,2026-01-27 01:18:02,2026-01-27 01:18:02,1
2661959,house,3,sale,Ano Ekali (Ekali),38.110367,23.851824,400,3,5,4,vip,5654,2026-01-27 06:30:25,2026-01-27 06:30:25,1
4802183,house,4,sale,Διόνυσος (Αθήνα - Βόρεια Προάστια),38.102077,23.875437,1600,3,8,8,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
4965215,house,3,sale,Center (Chalandri),38.02467,23.803909,314,9,5,5,vip,3155,2026-01-27 06:30:25,2026-01-27 06:30:25,1
5367842,house,4,sale,Πολιτεία (Κηφισιά),38.087029,23.830666,2200,3,7,6,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
5761287,house,4,sale,Πολιτεία (Κηφισιά),38.0891,23.828697,600,3,7,5,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
6330123,house,4,sale,Panorama (Voula),37.853935,23.781366,600,3,6,5,vip,10796,2026-01-27 06:30:22,2026-01-27 06:30:22,1
6930507,house,3,sale,Agia Marina (Koropi),37.811993,23.829237,324,3,5,2,vip,7414,2026-01-27 06:30:25,2026-01-27 06:30:25,1
7055359,house,3,sale,Politeia (Kifisia),38.087215,23.831213,340,3,4,4,vip,5654,2026-01-27 06:30:22,2026-01-27 06:30:22,1
8010361,house,1,sale,Sourmena (Elliniko),37.895584,23.752926,198,6,3,2,vip,5011,2026-01-27 01:18:02,2026-01-27 01:18:02,1
9110208,house,3,sale,Μορτερό (Νέα Ερυθραία),38.096184,23.81949,225,3,3,3,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
10022745,house,4,sale,Άγιοι Ανάργυροι (Καπανδρίτι),38.248798,23.891315,476,3,6,5,vip,13787,2026-01-28 01:26:23,2026-01-28 01:26:23,1
10389770,house,4,sale,Δημοσιογραφικά (Εκάλη),38.116142,23.833069,1100,0,10,6,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
